nationality,sport,age,male,height,weight,won_any,won_gold,total_medals
ARG,hockey,24,0,165,55,0,0,0
JOR,taekwondo,20,1,178,68,1,1,1
MAS,aquatics,23,1,162,62,0,0,0
LIB,athletics,26,1,188,80,0,0,0
EGY,volleyball,27,1,188,89,0,0,0
EGY,volleyball,31,1,197,87,0,0,0
EGY,judo,20,1,165,60,0,0,0
EGY,volleyball,28,1,194,92,0,0,0
EGY,aquatics,19,1,188,80,0,0,0
SUD,athletics,22,1,173,75,0,0,0
QAT,athletics,20,1,190,90,0,0,0
EGY,shooting,35,1,172,80,0,0,0
EGY,volleyball,25,1,197,80,0,0,0
EGY,archery,37,1,183,84,0,0,0
EGY,handball,32,1,181,79,0,0,0
NIG,judo,28,1,180,73,0,0,0
IRQ,football,24,1,184,80,0,0,0
EGY,shooting,29,1,175,60,0,0,0
TUN,aquatics,26,1,190,90,0,0,0
EGY,shooting,20,1,170,73,0,0,0
EGY,weightlifting,28,1,185,144,0,0,0
EGY,wrestling,27,1,165,85,0,0,0
EGY,sailing,24,1,174,81,0,0,0
EGY,weightlifting,29,1,160,62,0,0,0
EGY,shooting,37,1,190,95,0,0,0
TUR,table tennis,25,1,173,67,0,0,0
TUR,cycling,23,1,177,69,0,0,0
KOR,cycling,26,0,163,55,0,0,0
VEN,athletics,31,0,180,99,0,0,0
JPN,table tennis,27,0,156,48,1,0,1
JPN,sailing,35,0,161,58,0,0,0
JPN,triathlon,32,0,155,44,0,0,0
TPE,shooting,20,0,157,52,0,0,0
KGZ,wrestling,30,1,195,125,0,0,0
CHN,sailing,31,1,185,75,0,0,0
SEN,basketball,29,0,193,95,0,0,0
HUN,fencing,40,0,162,58,0,0,0
MEX,archery,28,0,169,64,0,0,0
RUS,fencing,30,0,173,63,0,0,0
AUS,aquatics,25,1,187,88,0,0,0
JPN,aquatics,25,0,176,62,1,0,1
GRE,rowing,23,0,180,70,0,0,0
GRE,fencing,19,0,168,58,0,0,0
JPN,aquatics,22,0,166,56,1,0,1
JPN,gymnastics,16,0,146,35,0,0,0
IRL,triathlon,34,0,169,53,0,0,0
ARG,gymnastics,20,0,167,58,0,0,0
NED,handball,25,0,171,69,0,0,0
CHN,basketball,22,1,192,85,0,0,0
NZL,canoe,21,0,183,99,0,0,0
GBR,aquatics,23,0,171,66,0,0,0
ESP,rowing,21,0,170,60,0,0,0
ESP,handball,22,0,180,88,0,0,0
ESP,triathlon,38,0,160,48,0,0,0
KAZ,taekwondo,18,0,164,49,0,0,0
JPN,gymnastics,21,0,171,46,0,0,0
LTU,athletics,24,0,187,63,0,0,0
CHN,aquatics,20,1,168,60,1,1,2
JAM,athletics,26,0,162,50,0,0,0
AUS,shooting,16,0,157,51,0,0,0
KGZ,wrestling,23,0,170,58,0,0,0
ESP,aquatics,22,1,183,78,0,0,0
AUS,football,31,0,163,58,0,0,0
USA,athletics,22,0,173,61,0,0,0
SUI,athletics,20,0,168,56,0,0,0
HUN,aquatics,14,0,165,54,0,0,0
USA,rugby sevens,25,0,168,74,0,0,0
JPN,equestrian,37,0,165,50,0,0,0
JPN,hockey,28,0,153,50,0,0,0
JPN,badminton,19,0,156,55,0,0,0
RSA,athletics,22,1,176,74,0,0,0
IND,hockey,21,1,178,70,0,0,0
CAN,athletics,24,1,168,71,1,0,1
BAR,athletics,21,0,186,77,0,0,0
JPN,hockey,26,0,166,59,0,0,0
JPN,canoe,24,0,156,50,0,0,0
JPN,athletics,25,1,180,73,0,0,0
JPN,shooting,32,0,162,58,0,0,0
NZL,rugby sevens,21,1,194,113,0,0,0
JPN,aquatics,27,1,191,95,0,0,0
IRQ,football,20,1,178,68,0,0,0
EGY,fencing,25,1,188,87,0,0,0
NGR,basketball,28,1,210,102,0,0,0
GBR,sailing,30,1,181,84,0,0,0
GBR,rowing,33,1,191,96,0,0,0
RSA,cycling,20,1,178,62,0,0,0
GBR,rowing,30,1,192,96,0,0,0
IRL,hockey,29,1,178,76,0,0,0
NZL,athletics,29,0,163,52,0,0,0
AUS,athletics,32,0,171,59,0,0,0
AUS,football,21,0,176,63,0,0,0
GBR,hockey,28,1,183,76,0,0,0
ESP,basketball,26,0,191,68,1,0,1
NIG,aquatics,21,1,178,76,0,0,0
SUI,golf,18,0,174,58,0,0,0
ESP,aquatics,30,1,189,86,0,0,0
RUS,taekwondo,24,1,185,80,0,0,0
ESP,equestrian,37,1,168,65,0,0,0
BRN,athletics,24,1,177,63,0,0,0
ESP,aquatics,22,1,184,78,0,0,0
ESP,tennis,28,1,188,80,0,0,0
ROU,wrestling,31,1,188,100,1,0,1
VEN,aquatics,29,1,190,85,0,0,0
VEN,athletics,28,1,199,88,0,0,0
HON,football,20,1,184,77,0,0,0
ANG,handball,20,0,192,105,0,0,0
MEX,athletics,25,1,191,78,0,0,0
ESP,shooting,33,1,180,115,0,0,0
ESP,aquatics,22,1,198,105,0,0,0
ITA,canoe,31,1,186,88,0,0,0
SWE,handball,23,1,186,94,0,0,0
RUS,shooting,29,0,165,50,0,0,0
BRA,athletics,24,1,193,80,0,0,0
ITA,fencing,37,1,184,82,0,0,0
AUS,archery,20,1,185,77,1,0,1
GER,athletics,28,1,182,82,0,0,0
COL,rugby sevens,29,0,160,82,0,0,0
MEX,weightlifting,25,0,165,75,0,0,0
VEN,fencing,36,0,169,62,0,0,0
MEX,golf,28,0,158,48,0,0,0
MEX,aquatics,19,0,157,56,0,0,0
MEX,athletics,22,0,165,57,0,0,0
ESP,gymnastics,24,0,175,54,1,0,1
MEX,fencing,25,0,176,73,0,0,0
MEX,archery,21,0,175,74,0,0,0
MEX,shooting,32,0,165,85,0,0,0
CUB,wrestling,27,1,165,65,0,0,0
URU,sailing,32,1,190,96,0,0,0
ESP,cycling,36,1,177,63,0,0,0
AZE,rowing,26,1,189,93,0,0,0
MNE,aquatics,30,1,197,107,0,0,0
SRB,table tennis,40,1,178,85,0,0,0
SRB,judo,24,1,194,94,0,0,0
BUL,aquatics,24,1,185,75,0,0,0
MNE,aquatics,29,1,191,98,0,0,0
RUS,aquatics,21,1,188,80,0,0,0
RUS,canoe,35,1,184,77,0,0,0
RUS,equestrian,31,1,179,70,0,0,0
RUS,aquatics,21,1,185,80,0,0,0
RUS,aquatics,19,1,193,85,0,0,0
ITA,aquatics,27,0,167,65,1,0,1
SRB,basketball,20,0,187,76,1,0,1
POL,shooting,25,0,160,67,0,0,0
SRB,tennis,23,0,163,55,0,0,0
RUS,aquatics,27,0,169,49,1,1,1
KAZ,athletics,25,0,168,58,0,0,0
POL,fencing,34,0,174,66,0,0,0
POL,aquatics,28,0,172,64,0,0,0
LAT,volleyball,31,1,196,98,0,0,0
RUS,aquatics,18,1,192,82,0,0,0
LAT,canoe,30,1,185,90,0,0,0
LAT,cycling,34,1,185,75,0,0,0
UZB,canoe,26,1,186,90,0,0,0
FIN,athletics,23,1,180,62,0,0,0
BRN,athletics,26,1,162,59,0,0,0
UKR,wrestling,27,1,185,125,0,0,0
BLR,athletics,28,0,182,95,0,0,0
BLR,cycling,27,0,169,52,0,0,0
BLR,rowing,25,0,179,65,0,0,0
CAN,golf,35,0,168,69,0,0,0
BLR,athletics,23,0,178,87,0,0,0
USA,hockey,26,0,173,65,0,0,0
ESP,athletics,38,0,165,50,0,0,0
ITA,rowing,24,0,180,70,0,0,0
SMR,shooting,28,0,169,73,0,0,0
ITA,cycling,30,1,181,66,0,0,0
ITA,triathlon,28,1,186,77,0,0,0
ITA,aquatics,29,1,191,85,1,0,1
ITA,aquatics,21,1,186,85,1,0,1
ITA,volleyball,24,0,184,68,0,0,0
ITA,gymnastics,19,0,168,48,0,0,0
ITA,volleyball,18,0,180,74,0,0,0
ITA,aquatics,21,0,163,55,0,0,0
ITA,athletics,23,0,188,70,0,0,0
NED,rowing,27,0,186,76,0,0,0
USA,rugby sevens,25,0,168,74,0,0,0
ESP,basketball,23,1,198,93,1,0,1
COK,athletics,21,1,181,74,0,0,0
USA,aquatics,22,1,196,102,0,0,0
ESP,hockey,28,1,183,78,0,0,0
GER,golf,45,1,168,65,0,0,0
BRA,basketball,36,1,192,102,0,0,0
CUB,judo,23,1,186,110,0,0,0
GBR,rowing,32,1,198,97,1,1,1
CHN,equestrian,26,1,190,70,0,0,0
NZL,rowing,23,1,196,96,0,0,0
NZL,sailing,24,0,158,56,1,0,1
USA,football,27,0,170,59,0,0,0
USA,aquatics,24,1,196,105,0,0,0
ITA,volleyball,29,1,200,94,0,0,0
USA,aquatics,21,1,204,115,0,0,0
BAR,aquatics,17,1,188,66,0,0,0
BRA,judo,28,1,174,73,0,0,0
IRL,athletics,25,1,175,62,0,0,0
ITA,aquatics,26,1,185,75,0,0,0
MEX,gymnastics,21,0,147,45,0,0,0
AUS,rowing,26,1,187,90,1,0,1
NED,volleyball,26,1,198,90,1,0,1
RUS,triathlon,29,1,184,79,0,0,0
BLR,tennis,28,1,184,94,0,0,0
CZE,fencing,22,1,196,89,0,0,0
AUS,cycling,22,1,184,76,1,0,1
SWE,football,22,1,180,75,0,0,0
AUT,cycling,26,1,185,70,0,0,0
AUS,athletics,23,1,198,91,0,0,0
BEL,hockey,22,1,185,82,0,0,0
AUS,rowing,23,1,193,91,1,0,1
AUT,volleyball,33,1,186,88,0,0,0
AUT,volleyball,31,1,179,64,0,0,0
GER,athletics,30,1,185,84,0,0,0
USA,rowing,25,1,194,90,0,0,0
GER,athletics,39,1,178,74,0,0,0
SWE,football,19,1,176,78,0,0,0
RUS,modern pentathlon,28,1,185,74,1,1,1
AUS,rowing,25,1,189,89,0,0,0
USA,fencing,22,1,188,81,1,0,2
SWE,football,24,1,192,77,0,0,0
CUB,shooting,24,1,169,75,0,0,0
USA,gymnastics,25,1,171,70,1,0,1
AUT,tennis,36,1,182,80,0,0,0
BRA,athletics,22,1,173,61,0,0,0
AUT,shooting,26,1,176,95,0,0,0
ISR,gymnastics,29,1,183,77,0,0,0
RUS,table tennis,25,1,192,80,0,0,0
ESP,rowing,27,1,180,80,0,0,0
RUS,aquatics,28,1,196,93,0,0,0
RUS,volleyball,31,1,210,90,0,0,0
MDA,weightlifting,26,1,164,77,0,0,0
KAZ,canoe,32,1,184,97,0,0,0
KAZ,weightlifting,23,1,180,105,1,0,1
GER,athletics,22,0,181,70,0,0,0
GBR,hockey,31,0,167,56,1,1,1
AUS,rowing,25,0,182,75,0,0,0
ARG,canoe,33,0,183,72,0,0,0
FRA,handball,29,0,177,73,1,0,1
SVK,archery,22,0,173,51,0,0,0
BRA,handball,34,0,177,68,0,0,0
MDA,archery,22,0,168,70,0,0,0
KAZ,aquatics,21,0,168,46,0,0,0
PUR,volleyball,32,0,189,75,0,0,0
GER,football,25,0,174,65,1,1,1
BLR,table tennis,28,0,178,66,0,0,0
USA,gymnastics,22,0,158,52,1,1,3
RUS,triathlon,26,0,168,56,0,0,0
FRA,athletics,22,0,170,82,0,0,0
SUI,aquatics,21,0,170,58,0,0,0
GER,aquatics,21,0,180,63,0,0,0
GER,athletics,22,0,180,64,0,0,0
FRA,equestrian,33,1,180,80,0,0,0
SEN,fencing,35,1,168,75,0,0,0
FRA,aquatics,29,1,193,100,0,0,0
BRA,fencing,17,1,177,75,0,0,0
SUI,aquatics,21,1,186,81,0,0,0
FRA,judo,25,1,184,90,0,0,0
BEL,hockey,27,1,178,75,0,0,0
GRE,aquatics,26,1,179,73,0,0,0
ESP,handball,30,0,175,62,0,0,0
BRA,handball,27,1,192,107,0,0,0
GRE,athletics,27,1,178,63,0,0,0
RUS,shooting,40,1,182,88,0,0,0
MDA,aquatics,16,1,188,85,0,0,0
GER,weightlifting,26,1,191,138,0,0,0
RUS,shooting,40,1,174,80,0,0,0
RUS,fencing,31,1,183,75,1,1,1
RUS,taekwondo,22,1,185,68,1,0,1
KAZ,canoe,31,1,187,95,0,0,0
RUS,volleyball,34,1,183,79,0,0,0
RUS,fencing,32,1,184,80,0,0,0
ARG,volleyball,35,1,184,85,0,0,0
FRA,shooting,21,1,172,78,1,0,1
POR,aquatics,24,1,185,74,0,0,0
ARG,football,22,1,164,66,0,0,0
FRA,cycling,28,1,173,60,0,0,0
SEY,aquatics,23,0,172,61,0,0,0
MEX,wrestling,23,1,181,85,0,0,0
ESP,canoe,25,1,182,86,0,0,0
KEN,athletics,19,1,167,60,0,0,0
ECU,cycling,23,1,192,90,0,0,0
MEX,football,33,1,188,84,0,0,0
LBA,rowing,26,1,175,68,0,0,0
IRQ,football,22,1,180,76,0,0,0
IRQ,football,21,1,184,75,0,0,0
IRI,weightlifting,24,1,178,93,0,0,0
IRQ,football,22,1,177,70,0,0,0
TUR,athletics,22,1,175,54,0,0,0
EGY,aquatics,20,1,182,78,0,0,0
BRN,athletics,21,1,182,70,0,0,0
USA,football,32,0,168,63,0,0,0
ALG,athletics,20,1,178,63,0,0,0
TUN,cycling,22,1,184,75,0,0,0
IRI,fencing,25,1,193,94,0,0,0
NZL,football,28,0,163,57,0,0,0
SWE,football,18,1,189,80,0,0,0
QAT,equestrian,34,1,177,86,0,0,0
EGY,handball,25,1,190,83,0,0,0
JAM,aquatics,27,0,173,71,0,0,0
UAE,athletics,22,0,158,54,0,0,0
BLR,weightlifting,23,1,176,94,0,0,0
BLR,fencing,31,1,191,80,0,0,0
BLR,athletics,27,1,172,65,0,0,0
BLR,aquatics,30,0,174,58,1,0,1
BLR,basketball,28,0,170,64,0,0,0
BLR,weightlifting,20,1,190,136,0,0,0
TUR,sailing,27,1,191,98,0,0,0
KEN,athletics,22,0,152,54,0,0,0
AUS,archery,23,0,172,80,0,0,0
ITA,aquatics,23,0,180,65,0,0,0
NED,equestrian,45,0,168,62,0,0,0
GBR,rugby sevens,29,0,172,69,0,0,0
GBR,judo,28,0,165,65,0,0,0
ITA,sailing,23,0,175,69,0,0,0
ITA,modern pentathlon,25,0,166,53,0,0,0
GBR,aquatics,19,0,165,65,0,0,0
CAN,athletics,26,0,165,57,0,0,0
ESP,sailing,33,0,168,68,0,0,0
AUS,aquatics,28,0,176,69,0,0,0
ESP,hockey,22,0,161,60,0,0,0
AUS,rugby sevens,24,0,173,64,1,1,1
POL,aquatics,23,0,176,68,0,0,0
ROU,wrestling,26,1,191,105,0,0,0
