nationality,sport,age,male,height,weight,won_any,won_gold,total_medals
CAN,tennis,43,1,191,87,0,0,0
USA,wrestling,29,1,166,56,0,0,0
AUS,shooting,34,1,202,128,0,0,0
BRA,archery,33,1,191,81,0,0,0
BRA,rugby sevens,22,1,182,90,0,0,0
GBR,hockey,30,1,184,84,0,0,0
DEN,aquatics,23,1,180,79,0,0,0
AUS,aquatics,25,1,190,83,0,0,0
SWE,athletics,23,1,200,155,0,0,0
GBR,athletics,25,1,184,73,0,0,0
BUL,wrestling,24,1,182,81,0,0,0
POL,rowing,34,1,170,55,0,0,0
HUN,aquatics,32,1,200,96,0,0,0
MEX,volleyball,29,1,197,94,0,0,0
MEX,athletics,32,1,162,53,0,0,0
SUI,rowing,27,1,183,73,0,0,0
NZL,sailing,26,1,179,72,0,0,0
MEX,cycling,29,0,173,56,0,0,0
POR,athletics,24,0,157,48,0,0,0
ROU,athletics,35,0,164,47,0,0,0
ROU,rowing,25,0,150,50,1,0,1
GER,athletics,26,0,171,61,0,0,0
BRA,shooting,31,0,165,67,0,0,0
ROU,table tennis,28,0,170,55,0,0,0
BRA,handball,37,0,174,70,0,0,0
GER,gymnastics,20,0,166,48,0,0,0
ITA,fencing,24,1,177,65,1,1,1
BRA,gymnastics,31,0,147,40,0,0,0
ITA,volleyball,25,1,193,83,1,0,1
ITA,athletics,30,1,178,64,0,0,0
AUS,aquatics,23,0,175,65,0,0,0
BRA,volleyball,31,0,183,71,0,0,0
SRB,basketball,29,0,188,77,1,0,1
AUS,gymnastics,24,0,166,52,0,0,0
CAN,wrestling,25,0,165,63,0,0,0
SUI,aquatics,23,0,178,62,0,0,0
GBR,rugby sevens,31,0,165,64,0,0,0
RUS,aquatics,18,1,189,77,0,0,0
MNE,athletics,24,1,193,118,0,0,0
QAT,handball,39,1,195,92,0,0,0
RUS,aquatics,24,1,192,90,0,0,0
COL,shooting,50,1,170,58,0,0,0
IND,hockey,27,1,168,66,0,0,0
TUR,weightlifting,24,1,173,69,1,0,1
SVK,shooting,31,0,170,55,0,0,0
MNE,tennis,21,0,170,67,0,0,0
CAN,sailing,26,0,178,71,0,0,0
JAM,athletics,23,0,168,91,0,0,0
USA,rugby sevens,26,1,188,102,0,0,0
MAS,golf,43,1,170,75,0,0,0
NZL,golf,26,1,180,79,0,0,0
FRA,gymnastics,31,1,161,57,0,0,0
GBR,golf,28,1,180,79,0,0,0
HUN,canoe,29,0,168,63,1,1,3
POL,athletics,26,0,167,49,0,0,0
CHN,archery,19,1,184,95,0,0,0
EGY,aquatics,20,0,169,59,0,0,0
NZL,judo,23,0,162,57,0,0,0
RUS,aquatics,17,0,177,59,0,0,0
RUS,handball,20,0,178,74,1,1,1
AUS,tennis,22,0,166,61,0,0,0
UKR,aquatics,31,0,174,57,0,0,0
RUS,tennis,19,0,170,62,0,0,0
RUS,volleyball,22,0,202,82,0,0,0
RUS,aquatics,18,0,172,61,0,0,0
POL,cycling,19,0,165,54,0,0,0
POL,judo,26,0,172,78,0,0,0
RUS,cycling,21,0,164,64,1,0,1
RUS,gymnastics,18,0,156,45,1,0,1
KGZ,aquatics,20,0,168,56,0,0,0
RUS,shooting,26,0,156,49,0,0,0
BAR,tennis,24,1,172,70,0,0,0
CUB,volleyball,33,1,202,90,0,0,0
CRO,basketball,22,1,206,110,0,0,0
POL,rowing,29,1,199,91,0,0,0
ITA,athletics,23,0,170,50,0,0,0
MNE,aquatics,25,1,180,97,0,0,0
SLO,handball,26,1,187,93,0,0,0
CRO,basketball,25,1,211,120,0,0,0
BRA,athletics,25,1,187,90,0,0,0
BRA,football,26,0,173,59,0,0,0
ESP,handball,33,0,178,70,0,0,0
USA,athletics,22,1,191,145,0,0,0
HAI,athletics,24,1,183,160,0,0,0
HON,football,21,1,178,76,0,0,0
RUS,athletics,25,0,180,58,0,0,0
KGZ,athletics,21,0,165,44,0,0,0
BLR,weightlifting,20,0,165,75,1,0,1
BLR,weightlifting,21,0,163,67,0,0,0
TKM,aquatics,14,0,170,50,0,0,0
BLR,judo,28,0,162,52,0,0,0
UKR,aquatics,26,0,174,62,0,0,0
USA,fencing,26,1,173,74,1,0,1
RSA,cycling,31,1,183,70,0,0,0
GBR,athletics,19,0,172,61,1,0,1
UKR,rowing,24,0,180,80,0,0,0
UKR,aquatics,21,0,178,67,0,0,0
KOR,athletics,19,0,159,47,0,0,0
IND,rowing,25,1,189,81,0,0,0
KAZ,wrestling,32,1,190,125,0,0,0
USA,sailing,38,1,186,71,0,0,0
PUR,athletics,24,1,192,82,0,0,0
ESP,hockey,31,1,184,75,0,0,0
GBR,hockey,27,1,188,82,0,0,0
AUS,basketball,36,1,210,102,0,0,0
RUS,gymnastics,24,1,163,55,1,0,2
USA,aquatics,27,1,176,72,1,0,2
AUT,aquatics,29,1,188,85,0,0,0
ESP,athletics,25,1,182,64,0,0,0
CAN,hockey,34,1,175,79,0,0,0
MRI,athletics,28,1,183,68,0,0,0
AUS,shooting,51,1,167,72,0,0,0
GBR,hockey,25,1,180,79,0,0,0
VEN,basketball,29,1,183,79,0,0,0
POR,canoe,32,1,181,82,0,0,0
ESP,tennis,34,1,175,73,0,0,0
GBR,canoe,33,1,188,76,1,0,1
HUN,aquatics,21,1,189,84,0,0,0
BEL,tennis,25,1,180,69,0,0,0
SUI,cycling,26,1,180,79,0,0,0
IRL,hockey,28,1,195,94,0,0,0
CAN,golf,37,1,185,77,0,0,0
USA,shooting,22,1,176,68,0,0,0
HUN,aquatics,20,1,175,73,0,0,0
RSA,rowing,25,1,197,90,0,0,0
CZE,gymnastics,19,1,175,68,0,0,0
POR,cycling,29,1,165,52,0,0,0
KIR,weightlifting,32,1,170,105,0,0,0
CZE,shooting,41,1,190,93,0,0,0
USA,volleyball,34,1,202,105,1,0,1
KEN,athletics,27,1,190,76,1,1,1
SWE,golf,29,1,170,80,0,0,0
MEX,sailing,37,1,172,68,0,0,0
AUS,aquatics,24,1,195,85,0,0,0
AUS,athletics,29,1,175,53,0,0,0
SLO,handball,33,1,196,100,0,0,0
AUS,aquatics,22,1,184,82,1,0,1
PAN,shooting,51,1,170,70,0,0,0
AUT,badminton,27,1,183,80,0,0,0
ITA,archery,20,1,181,81,0,0,0
USA,aquatics,30,1,191,95,1,1,2
AUS,table tennis,25,1,175,67,0,0,0
ESP,weightlifting,22,1,166,69,0,0,0
USA,volleyball,31,1,200,86,1,0,1
FIN,athletics,36,1,185,96,0,0,0
GER,athletics,26,1,198,117,0,0,0
CZE,modern pentathlon,31,1,183,76,0,0,0
CAF,taekwondo,28,1,187,68,0,0,0
PER,athletics,30,1,190,65,0,0,0
ESP,cycling,27,1,189,76,0,0,0
USA,athletics,25,1,173,70,1,1,1
HUN,aquatics,27,1,180,76,0,0,0
AUS,rowing,24,1,191,96,0,0,0
ITA,athletics,27,1,177,80,0,0,0
ITA,triathlon,24,1,185,64,0,0,0
GER,football,21,1,192,82,1,0,1
RUS,wrestling,23,1,174,85,1,1,1
GEO,athletics,24,1,171,68,0,0,0
SRB,wrestling,30,1,170,66,1,1,1
POL,volleyball,26,1,198,93,0,0,0
ETH,athletics,20,0,161,49,0,0,0
ETH,athletics,25,1,180,64,0,0,0
CUB,judo,29,0,150,48,0,0,0
BRA,aquatics,27,0,163,55,0,0,0
USA,basketball,28,1,211,120,1,1,1
USA,basketball,25,1,210,122,1,1,1
SLO,handball,27,1,189,94,0,0,0
USA,athletics,23,0,173,99,0,0,0
CAN,football,17,0,163,62,1,0,1
IND,athletics,25,0,164,53,0,0,0
NED,volleyball,32,0,184,68,0,0,0
INA,badminton,27,0,161,51,0,0,0
BRA,football,24,0,157,55,0,0,0
PUR,volleyball,30,0,166,61,0,0,0
URU,athletics,23,0,175,61,0,0,0
AUS,aquatics,21,0,162,52,0,0,0
FSM,aquatics,25,0,153,68,0,0,0
IND,hockey,22,0,158,63,0,0,0
IND,hockey,29,0,159,61,0,0,0
IND,archery,22,0,163,61,0,0,0
COL,football,22,1,179,71,0,0,0
LTU,aquatics,21,1,187,80,0,0,0
COL,football,23,1,184,77,0,0,0
SRB,canoe,26,1,178,78,0,0,0
ETH,athletics,26,1,180,58,0,0,0
GBR,athletics,22,1,180,73,0,0,0
ARG,hockey,26,0,169,59,0,0,0
FRA,badminton,21,0,169,60,0,0,0
USA,basketball,26,1,200,99,1,1,1
BAH,athletics,27,1,178,70,0,0,0
ARG,volleyball,33,1,192,82,0,0,0
MEX,sailing,33,0,172,60,0,0,0
HUN,aquatics,29,1,193,96,0,0,0
INA,weightlifting,27,1,165,69,0,0,0
CUB,athletics,26,0,175,70,1,0,1
COM,athletics,18,0,157,44,0,0,0
RUS,gymnastics,24,1,160,62,1,0,3
RUS,cycling,30,1,177,90,1,0,1
FRA,canoe,29,1,181,76,1,1,1
RUS,sailing,30,1,190,74,0,0,0
RUS,judo,25,1,176,73,0,0,0
UZB,tennis,29,1,187,85,0,0,0
RUS,shooting,33,1,174,80,0,0,0
USA,tennis,23,1,181,79,0,0,0
GER,wrestling,21,1,184,90,1,0,1
SVK,canoe,20,1,189,90,1,0,1
KAZ,weightlifting,22,1,175,85,0,0,0
ROU,handball,21,0,182,73,0,0,0
CZE,athletics,29,0,175,63,0,0,0
SIN,sailing,24,0,155,57,0,0,0
EST,sailing,30,1,200,100,0,0,0
TUR,sailing,31,1,172,65,0,0,0
BEL,gymnastics,22,1,160,65,0,0,0
KEN,rugby sevens,21,1,185,98,0,0,0
UKR,cycling,34,1,175,62,0,0,0
UKR,tennis,29,1,190,82,0,0,0
CGO,judo,19,1,190,140,0,0,0
KOR,athletics,30,1,180,71,0,0,0
RSA,football,22,1,175,67,0,0,0
TTO,athletics,23,1,179,75,0,0,0
BRA,handball,33,0,180,73,0,0,0
CAN,athletics,26,1,196,83,1,1,1
GBR,athletics,27,1,180,68,0,0,0
PAR,athletics,26,1,178,75,0,0,0
GBR,athletics,20,0,171,64,1,0,1
USA,athletics,33,0,155,43,0,0,0
ITA,athletics,22,0,179,51,0,0,0
CAN,football,29,0,160,63,1,0,1
DEN,football,21,1,187,71,0,0,0
JAM,athletics,25,1,183,82,0,0,0
USA,rowing,28,0,173,58,0,0,0
ARM,wrestling,27,1,170,65,0,0,0
USA,canoe,31,1,178,77,0,0,0
IND,hockey,24,1,178,69,0,0,0
CAN,hockey,27,1,165,61,0,0,0
USA,athletics,21,1,186,83,0,0,0
NZL,hockey,26,1,178,78,0,0,0
RSA,aquatics,24,1,188,80,0,0,0
INA,weightlifting,23,0,151,53,0,0,0
INA,rowing,19,0,166,65,0,0,0
NED,judo,32,1,175,73,0,0,0
IRQ,football,22,1,177,70,0,0,0
CHN,basketball,22,0,182,75,0,0,0
EGY,wrestling,23,1,177,125,0,0,0
PUR,athletics,23,0,180,67,0,0,0
BRA,aquatics,21,0,175,75,0,0,0
KAZ,athletics,20,0,158,50,0,0,0
ITA,shooting,33,0,175,85,1,1,1
ARM,athletics,22,0,170,60,0,0,0
LTU,athletics,35,0,174,57,0,0,0
ESP,athletics,35,0,163,50,0,0,0
CAN,football,32,0,153,53,1,0,1
COL,football,27,0,157,58,0,0,0
COL,aquatics,31,0,167,55,0,0,0
PUR,volleyball,23,0,191,80,0,0,0
GER,athletics,25,0,166,53,0,0,0
USA,basketball,34,0,182,70,1,1,1
BDI,athletics,31,0,183,59,0,0,0
CUB,shooting,28,0,149,59,0,0,0
KAZ,judo,19,1,175,73,0,0,0
BEN,athletics,20,1,185,84,0,0,0
NED,equestrian,28,1,190,87,0,0,0
ESP,sailing,22,1,183,81,0,0,0
COL,athletics,42,1,169,62,0,0,0
BRA,gymnastics,30,1,170,68,1,0,1
DOM,cycling,31,1,179,67,0,0,0
ITA,fencing,35,1,180,76,0,0,0
COL,athletics,22,1,178,67,0,0,0
ITA,cycling,27,1,178,65,0,0,0
MEX,athletics,22,1,185,100,0,0,0
CGO,aquatics,20,1,173,68,0,0,0
BEL,aquatics,25,1,190,85,0,0,0
TUR,judo,22,0,165,48,0,0,0
TUR,sailing,20,0,163,54,0,0,0
ITA,aquatics,20,0,170,61,0,0,0
TJK,athletics,34,1,187,120,1,1,1
UZB,wrestling,24,1,172,75,0,0,0
BUL,wrestling,36,1,180,125,0,0,0
BUL,modern pentathlon,22,1,181,71,0,0,0
FRA,athletics,29,1,181,80,1,0,1
NED,athletics,20,1,181,80,0,0,0
MDA,athletics,22,0,174,93,0,0,0
GER,table tennis,27,1,186,78,1,0,1
SRB,shooting,32,1,191,82,0,0,0
GRE,cycling,24,1,180,69,0,0,0
CYP,athletics,28,1,194,74,0,0,0
GRE,aquatics,19,1,179,72,0,0,0
GRE,aquatics,25,1,183,79,0,0,0
UKR,wrestling,33,1,190,98,0,0,0
RUS,volleyball,21,1,200,88,0,0,0
GBR,athletics,20,0,164,55,1,0,1
RSA,athletics,32,0,165,46,0,0,0
EGY,table tennis,22,0,166,59,0,0,0
CHN,athletics,24,1,175,62,0,0,0
SEN,basketball,31,0,170,70,0,0,0
POR,gymnastics,22,1,184,75,0,0,0
POR,aquatics,28,1,184,75,0,0,0
BRA,handball,33,1,183,93,0,0,0
BRA,triathlon,34,1,190,80,0,0,0
NED,aquatics,23,1,195,88,0,0,0
FSM,aquatics,24,1,153,65,0,0,0
GRE,rowing,24,1,189,91,0,0,0
IND,gymnastics,22,0,151,47,0,0,0
NED,rowing,26,1,199,93,1,0,1
BEL,judo,32,1,173,73,1,0,1
PLW,aquatics,18,0,165,51,0,0,0
UZB,judo,22,1,172,60,1,0,1
MLI,athletics,26,0,176,73,0,0,0
RUS,volleyball,36,1,194,96,0,0,0
RUS,gymnastics,27,1,177,65,0,0,0
CZE,table tennis,36,1,185,78,0,0,0
KAZ,aquatics,21,1,195,90,1,1,1
KAZ,athletics,23,1,183,82,0,0,0
UZB,taekwondo,24,1,193,97,0,0,0
ISR,athletics,23,1,187,73,0,0,0
RUS,canoe,30,1,178,84,0,0,0
RUS,triathlon,29,1,182,69,0,0,0
RUS,fencing,27,1,185,78,0,0,0
UKR,weightlifting,26,1,171,94,0,0,0
UKR,canoe,23,1,184,75,1,0,1
UKR,fencing,36,1,179,79,0,0,0
UKR,athletics,27,1,198,105,0,0,0
UKR,rowing,26,1,195,96,0,0,0
UKR,aquatics,21,1,187,82,0,0,0
UKR,athletics,23,1,192,70,0,0,0
MEX,aquatics,19,0,162,62,0,0,0
URU,sailing,17,0,168,63,0,0,0
CRO,handball,28,1,198,100,0,0,0
LTU,basketball,20,1,208,109,0,0,0
GER,cycling,21,1,188,83,0,0,0
ITA,rowing,30,1,189,97,1,0,1
SEY,judo,31,1,180,99,0,0,0
GBR,tennis,30,1,198,95,0,0,0
GBR,athletics,33,1,178,69,0,0,0
AUT,athletics,26,1,186,81,0,0,0
HUN,aquatics,25,1,191,90,0,0,0
CAN,aquatics,25,0,174,61,0,0,0
RSA,athletics,24,0,166,52,0,0,0
LTU,rowing,23,1,192,95,0,0,0
AUS,aquatics,21,1,163,55,0,0,0
ISR,athletics,29,1,196,81,0,0,0
USA,athletics,26,1,178,68,0,0,0
BAH,athletics,32,1,191,81,0,0,0
RUS,modern pentathlon,28,0,176,62,0,0,0
LTU,rowing,27,0,170,62,1,0,1
CHN,gymnastics,27,1,168,56,1,0,1
KOR,badminton,25,1,183,78,0,0,0
KOR,judo,24,1,183,90,1,0,1
KOR,cycling,28,1,168,76,0,0,0
KOR,football,21,1,182,73,0,0,0
KOR,weightlifting,22,1,175,84,0,0,0
KOR,football,21,1,188,84,0,0,0
CHN,aquatics,25,0,178,83,0,0,0
KOR,taekwondo,29,1,190,91,1,0,1
CHN,football,27,0,170,58,0,0,0
KOR,equestrian,27,1,189,80,0,0,0
CHN,hockey,28,0,175,60,0,0,0
CHN,cycling,22,0,172,63,0,0,0
KOR,rowing,25,1,189,91,0,0,0
HON,football,35,1,180,85,0,0,0
CAN,modern pentathlon,36,0,164,53,0,0,0
HUN,aquatics,22,0,169,62,0,0,0
HUN,aquatics,27,0,175,63,0,0,0
HUN,aquatics,23,0,173,60,0,0,0
NGR,athletics,28,0,191,63,0,0,0
KEN,rugby sevens,34,0,157,70,0,0,0
FRA,triathlon,22,1,181,70,0,0,0
DOM,aquatics,19,0,186,55,0,0,0
FRA,rowing,32,1,195,90,0,0,0
NED,sailing,27,1,189,75,1,1,1
COL,taekwondo,30,0,165,56,0,0,0
COL,football,28,1,168,68,0,0,0
GER,aquatics,32,0,179,67,0,0,0
GER,equestrian,47,0,169,63,1,1,1
CAN,wrestling,23,0,160,71,0,0,0
UZB,weightlifting,21,1,158,69,0,0,0
KAZ,wrestling,27,1,173,75,0,0,0
BRA,volleyball,20,1,199,75,1,1,1
RSA,aquatics,26,1,182,78,0,0,0
BRA,football,22,1,173,69,1,1,1
LTU,rowing,19,1,193,98,0,0,0
SRB,basketball,21,0,195,73,1,0,1
SRB,athletics,34,0,175,80,0,0,0
MNE,aquatics,31,1,194,92,0,0,0
USA,basketball,26,1,200,104,1,1,1
MAR,aquatics,18,1,190,83,0,0,0
MKD,athletics,20,0,166,56,0,0,0
CHN,judo,26,1,174,66,0,0,0
ESP,aquatics,28,0,180,59,0,0,0
ISR,tennis,31,1,175,67,0,0,0
MGL,aquatics,29,1,179,72,0,0,0
ROU,weightlifting,27,1,168,77,0,0,0
GBR,aquatics,19,1,191,74,1,0,2
CHN,aquatics,17,0,181,83,0,0,0
CHN,aquatics,19,0,181,74,0,0,0
CHN,athletics,22,1,175,55,0,0,0
MNE,handball,19,0,186,86,0,0,0
SVK,athletics,28,1,180,67,0,0,0
SRB,aquatics,22,1,202,105,1,1,1
SRB,aquatics,31,1,197,97,1,1,1
GER,tennis,31,1,196,78,0,0,0
BAH,aquatics,20,1,185,75,0,0,0
IND,athletics,20,0,160,50,0,0,0
TUR,weightlifting,20,0,170,69,0,0,0
BEL,athletics,23,1,190,78,0,0,0
RSA,aquatics,23,1,178,75,0,0,0
GBR,sailing,28,1,176,78,0,0,0
NZL,cycling,21,1,178,75,0,0,0
RSA,rugby sevens,24,1,188,96,1,0,1
NZL,gymnastics,19,1,169,69,0,0,0
BLR,rowing,30,1,197,102,0,0,0
BLR,athletics,29,1,178,64,0,0,0
BLR,athletics,20,1,186,69,0,0,0
BLR,athletics,27,1,191,83,0,0,0
BLR,judo,27,1,170,66,0,0,0
GER,football,24,0,171,55,1,1,1
FRA,volleyball,25,1,194,101,0,0,0
NGR,basketball,35,1,196,97,0,0,0
EGY,cycling,19,0,163,54,0,0,0
CAN,judo,22,0,165,52,0,0,0
AUS,rugby sevens,30,1,184,96,0,0,0
ISV,athletics,24,1,180,73,0,0,0
SUI,gymnastics,21,1,165,63,0,0,0
CUB,athletics,17,1,181,72,0,0,0
BRA,athletics,29,1,189,89,0,0,0
BRA,volleyball,32,1,204,107,1,1,1
VEN,taekwondo,24,1,178,67,0,0,0
PAN,aquatics,27,1,178,83,0,0,0
POR,football,22,1,188,80,0,0,0
GUA,weightlifting,18,1,162,56,0,0,0
MEX,athletics,25,1,198,84,0,0,0
LTU,wrestling,30,1,171,70,0,0,0
BRN,athletics,19,0,167,58,0,0,0
DEN,football,27,1,192,91,0,0,0
HUN,aquatics,26,0,181,64,0,0,0
HUN,fencing,38,0,166,53,0,0,0
MEX,judo,24,0,152,48,0,0,0
BRA,rugby sevens,24,0,153,54,0,0,0
HAI,weightlifting,26,1,152,60,0,0,0
BRA,canoe,34,1,170,83,0,0,0
GER,wrestling,25,1,190,128,0,0,0
BRA,wrestling,26,1,190,120,0,0,0
BRA,handball,29,0,186,84,0,0,0
ESP,equestrian,32,1,173,67,0,0,0
DOM,shooting,49,1,171,84,0,0,0
BRA,equestrian,36,1,193,84,0,0,0
CUB,rowing,29,1,187,88,0,0,0
ARG,cycling,25,1,173,63,0,0,0
ESP,aquatics,22,1,183,79,0,0,0
LTU,canoe,30,1,184,90,1,0,1
CHI,athletics,30,1,176,62,0,0,0
GBR,cycling,31,1,185,79,1,1,1
NZL,cycling,27,1,185,93,1,0,1
NED,equestrian,46,1,182,72,0,0,0
USA,rowing,27,1,194,77,0,0,0
GBR,shooting,33,1,180,80,1,0,1
AUS,hockey,29,1,180,73,0,0,0
ITA,judo,26,0,163,63,0,0,0
COL,weightlifting,31,1,165,69,0,0,0
AUS,hockey,28,0,170,70,0,0,0
AUS,equestrian,42,0,164,50,0,0,0
POL,canoe,30,0,170,72,0,0,0
POL,cycling,29,0,177,68,0,0,0
LAT,cycling,28,1,183,82,0,0,0
NED,badminton,27,0,164,60,0,0,0
NED,athletics,29,1,186,80,0,0,0
KOR,hockey,21,0,175,72,0,0,0
GRE,shooting,31,1,190,105,0,0,0
LTU,athletics,27,0,176,63,0,0,0
CUB,shooting,36,0,159,63,0,0,0
RUS,volleyball,21,1,208,93,0,0,0
IRI,athletics,31,1,192,120,0,0,0
COL,athletics,23,1,165,60,0,0,0
GER,athletics,34,1,197,92,0,0,0
JPN,athletics,23,1,176,58,0,0,0
PAN,fencing,30,0,152,59,0,0,0
GBR,athletics,29,0,170,60,1,0,1
GBR,athletics,25,0,176,53,0,0,0
AUT,aquatics,18,0,171,50,0,0,0
JPN,shooting,33,1,173,76,0,0,0
RUS,volleyball,28,0,180,62,0,0,0
RUS,wrestling,29,0,174,75,1,0,1
RUS,fencing,28,0,167,53,1,1,1
RUS,handball,25,0,174,60,1,1,1
TUR,aquatics,24,0,180,69,0,0,0
BLR,rowing,44,0,185,81,0,0,0
UZB,gymnastics,34,0,163,50,0,0,0
RUS,shooting,28,0,161,69,0,0,0
RUS,volleyball,26,0,178,64,0,0,0
ISR,gymnastics,19,0,168,52,0,0,0
RUS,aquatics,26,0,175,64,1,0,1
RUS,tennis,28,0,180,67,1,1,1
RUS,handball,34,0,176,70,1,1,1
RUS,aquatics,20,0,163,48,0,0,0
BLR,athletics,29,0,169,61,0,0,0
RUS,aquatics,25,0,176,70,1,0,1
RUS,shooting,22,0,158,60,0,0,0
RUS,judo,25,0,167,63,0,0,0
FIN,gymnastics,19,0,168,48,0,0,0
UZB,athletics,24,0,173,65,0,0,0
GRE,athletics,26,0,173,59,1,1,1
NGR,basketball,31,1,210,100,0,0,0
INA,weightlifting,27,1,154,62,1,0,1
ALG,athletics,26,1,165,60,0,0,0
BRN,athletics,32,1,171,61,0,0,0
MAR,wrestling,26,1,168,59,0,0,0
IRI,shooting,34,0,160,62,0,0,0
JAM,athletics,24,0,167,57,1,1,3
QAT,handball,24,1,178,77,0,0,0
HON,football,21,1,176,69,0,0,0
FRA,athletics,26,0,176,56,0,0,0
CAN,fencing,21,0,172,56,0,0,0
USA,rowing,28,0,188,86,1,1,1
AUS,athletics,20,0,182,65,0,0,0
GBR,hockey,27,0,167,64,0,0,0
GRE,gymnastics,25,1,164,62,1,1,1
GBR,shooting,44,0,169,68,0,0,0
ITA,sailing,24,0,171,58,0,0,0
ITA,cycling,24,0,168,55,0,0,0
USA,basketball,26,0,195,86,1,1,1
RUS,volleyball,38,0,178,69,0,0,0
ESP,gymnastics,21,0,169,51,1,0,1
ITA,athletics,28,0,172,52,0,0,0
ROU,athletics,21,0,170,57,0,0,0
KAZ,modern pentathlon,23,0,165,53,0,0,0
RUS,aquatics,22,0,169,54,1,1,1
USA,wrestling,29,0,168,71,0,0,0
RUS,tennis,30,0,176,66,1,1,1
GER,aquatics,15,0,174,63,0,0,0
ROU,rowing,23,0,182,76,0,0,0
CYP,athletics,30,0,177,62,0,0,0
GRE,gymnastics,20,0,170,55,0,0,0
ITA,athletics,26,0,162,52,0,0,0
ITA,volleyball,36,0,171,67,0,0,0
USA,fencing,20,1,186,77,0,0,0
ITA,cycling,27,1,177,70,1,1,1
BRA,athletics,30,0,160,49,0,0,0
MAD,athletics,34,0,154,46,0,0,0
VEN,archery,26,1,180,87,0,0,0
COL,athletics,28,0,170,64,0,0,0
TUR,wrestling,30,0,164,58,0,0,0
KEN,athletics,23,1,185,62,0,0,0
SWE,taekwondo,26,0,176,67,0,0,0
SWE,football,23,0,166,59,1,0,1
KAZ,athletics,22,0,170,55,0,0,0
UKR,tennis,21,0,174,60,0,0,0
IVB,aquatics,16,0,164,50,0,0,0
GBR,cycling,21,0,168,56,1,1,1
ITA,judo,20,1,155,60,0,0,0
BUL,wrestling,33,1,189,100,0,0,0
NED,cycling,22,0,185,90,1,1,1
ITA,aquatics,29,0,170,59,0,0,0
ITA,cycling,24,0,170,59,1,0,1
ITA,gymnastics,19,0,150,42,0,0,0
ITA,aquatics,25,0,168,61,1,0,1
ITA,athletics,36,0,168,53,0,0,0
MAD,weightlifting,24,0,165,62,0,0,0
ITA,fencing,33,0,177,65,1,0,1
ESP,rugby sevens,28,0,167,73,0,0,0
AUT,badminton,26,0,175,62,0,0,0
CAF,athletics,27,0,133,53,0,0,0
GER,gymnastics,22,0,161,57,0,0,0
GRE,athletics,24,0,175,58,0,0,0
CUB,aquatics,19,0,163,57,0,0,0
FRA,football,30,0,163,54,0,0,0
AUS,football,25,0,165,60,0,0,0
CZE,athletics,28,0,178,70,0,0,0
GBR,gymnastics,17,0,158,58,0,0,0
BUL,wrestling,21,0,151,48,1,0,1
KEN,athletics,31,1,167,57,1,1,1
ROU,handball,23,0,178,70,0,0,0
NZL,athletics,19,0,179,66,1,0,1
ESP,handball,25,0,192,81,0,0,0
ROU,table tennis,27,0,171,56,0,0,0
GBR,cycling,27,0,168,55,0,0,0
USA,aquatics,23,0,168,63,0,0,0
ECU,triathlon,29,0,160,49,0,0,0
AUS,basketball,24,0,202,98,0,0,0
NZL,aquatics,18,0,159,58,0,0,0
CAN,athletics,27,0,185,79,0,0,0
NZL,hockey,27,0,162,62,0,0,0
NZL,hockey,22,0,169,67,0,0,0
USA,equestrian,52,0,168,63,1,0,1
ESP,handball,35,0,175,68,0,0,0
NZL,hockey,21,0,175,71,0,0,0
SIN,sailing,24,0,167,70,0,0,0
GEO,wrestling,27,1,187,105,0,0,0
ARG,handball,21,0,175,65,0,0,0
BEL,cycling,24,0,163,60,0,0,0
AUS,athletics,22,0,169,58,0,0,0
COK,canoe,25,0,160,62,0,0,0
NED,rowing,27,0,183,72,0,0,0
NED,hockey,30,0,164,54,1,0,1
SUI,athletics,30,0,172,62,0,0,0
USA,rowing,32,0,178,72,0,0,0
NED,cycling,29,0,182,71,0,0,0
AUS,rugby sevens,23,0,172,75,1,1,1
AUS,football,16,0,165,60,0,0,0
GBR,aquatics,23,0,165,68,0,0,0
GBR,athletics,22,1,183,77,0,0,0
BEL,hockey,28,1,185,75,1,0,1
IRL,gymnastics,18,0,164,63,0,0,0
AZE,judo,25,1,188,100,1,0,1
KAZ,wrestling,24,0,172,69,1,0,1
UZB,wrestling,24,1,160,59,1,0,1
FRA,modern pentathlon,27,0,182,69,1,0,1
FRA,rugby sevens,26,0,166,63,0,0,0
FRA,rowing,20,0,177,70,0,0,0
FRA,football,29,0,168,60,0,0,0
AUS,athletics,33,0,172,52,0,0,0
RSA,athletics,29,1,175,61,0,0,0
BEL,athletics,33,0,160,51,0,0,0
ESP,volleyball,29,0,181,68,0,0,0
CAN,gymnastics,20,0,155,56,0,0,0
BDI,aquatics,27,0,165,54,0,0,0
NRU,weightlifting,22,1,155,56,0,0,0
AZE,wrestling,27,1,178,75,0,0,0
RUS,aquatics,22,0,166,62,1,0,1
VEN,judo,19,0,178,70,0,0,0
CPV,gymnastics,18,0,170,58,0,0,0
MNE,handball,19,0,183,78,0,0,0
VEN,equestrian,19,1,189,76,0,0,0
GER,cycling,23,1,181,61,0,0,0
POR,canoe,30,1,186,87,0,0,0
ITA,volleyball,35,1,202,95,1,0,1
ITA,equestrian,30,1,175,70,0,0,0
ITA,rowing,25,1,191,85,0,0,0
BRA,gymnastics,20,0,167,55,0,0,0
TUR,athletics,20,0,181,110,0,0,0
